Life_Time,Age,Is_Retail,Is_CRM_Email,CountDeposit,CountWithdrawal,TotalDeposits,TotalWithdrawal,CountPaymentMethod,DifferentMethodWithdrawals,Multi_Device,IP_Counts,e_11234,e_23456,e_34454,e_43568,e_64645,Target_ml
1,27,0,0,16,3,2740,2520,3,2520.0,1,3,12623.13,495.04,13742.51,9761.57,0.51,1
0,34,0,1,158,10,2436,737,3,737.0,1,4,1335.65,7502.16,2121.46,1994.43,1.17,1
1,38,0,0,6,0,430,0,1,0.0,0,3,6483.35,2868.77,5984.21,29671.93,1.07,1
0,41,0,1,51,10,1102,920,4,920.0,1,3,3390.87,400.34,15916.47,1269.77,2.34,1
1,40,1,0,46,31,1300,1360,4,1360.0,1,4,972.51,3611.08,4974.62,18679.39,1.84,1
2,54,0,1,10,1,240,330,2,330.0,1,2,11.43,13552.02,2760.09,32586.7,2.86,1
2,43,0,0,12,1,4150,350,2,350.0,1,2,15934.32,18716.64,41194.4,41194.4,3.37,0
1,36,0,0,17,3,1410,950,1,0.0,1,1,7638.11,1237.37,6626.99,12677.15,0.29,1
5,63,0,1,6,0,52,0,1,0.0,1,3,2091.65,1019.54,3195.45,10195.45,0.01,0
10,57,1,0,4,0,60,0,1,0.0,1,1,6373.9,4056.19,2921.42,32640.47,1.31,0
1,34,0,1,272,20,1950,1300,2,1300.0,1,7,6092.89,2231.04,16531.35,2515.0,1.96,1
4,49,1,0,13,1,500,800,1,0.0,1,1,16297.18,17602.9,39338.17,39338.17,3.26,0
0,46,0,0,2,0,1500,0,1,0.0,1,1,9870.27,16424.53,17122.67,37374.22,3.14,0
0,41,0,0,28,3,13900,7000,2,7000.0,1,3,1121.64,9627.86,6.81,10292.14,1.1,1
0,61,0,0,32,7,3410,2170,2,0.0,1,3,154.65,581.99,250.45,1275.36,0.19,0
1,36,1,0,27,4,910,690,1,0.0,1,2,1963.2,1196.8,4968.04,11968.04,0.1,0
0,36,0,0,117,7,1150,891,2,891.0,1,4,2631.96,2791.09,15412.61,2377.79,1.28,1
1,52,0,0,6,0,60,0,1,0.0,1,1,17479.63,9465.2,25775.34,25775.34,2.45,1
0,33,0,0,72,11,1418,1225,4,1225.0,0,3,3150.26,7408.37,10178.98,136.74,1.28,1
1,61,1,0,6,0,100,0,1,0.0,0,1,6602.66,16341.57,37235.96,37235.96,3.13,0
3,33,0,0,154,10,2048,790,3,790.0,1,5,685.92,2921.6,5342.74,2188.27,2.26,1
1,27,1,0,17,6,209,202,1,0.0,1,1,37808.95,17420.27,22101.37,39033.79,3.24,0
7,42,1,1,1,0,50,0,1,0.0,1,1,21242.04,15526.0,35876.67,35876.67,3.05,0
1,37,0,0,118,22,2380,2330,2,0.0,0,7,3223.35,4162.96,5363.4,16886.91,0.35,1
0,51,0,0,10,0,2150,0,1,0.0,1,5,553.02,685.18,13851.83,6851.83,0.84,1
2,27,1,0,2,0,160,0,1,0.0,1,2,335.05,1718.13,24181.29,17181.29,1.36,0
0,50,0,0,23,21,3310,4935,3,4935.0,1,3,1618.27,10851.24,10984.07,2133.24,0.27,1
0,46,0,1,5,2,7410,4500,1,0.0,1,5,4447.51,5141.21,11059.04,10706.03,1.53,1
0,24,0,0,2,0,1700,0,1,0.0,0,3,9023.24,15039.35,35065.58,35065.58,3.0,1
0,27,0,0,53,4,767,371,2,371.0,1,1,15693.46,14951.52,9757.58,34919.19,3.0,0
1,21,0,0,37,0,1127,0,2,0.0,1,3,2854.63,1304.66,6046.59,13046.59,0.15,0
0,40,0,1,1,0,200,0,1,0.0,1,2,1065.94,619.57,804.29,1478.29,0.19,1
0,73,1,0,12,1,530,150,1,0.0,1,2,214.73,5905.58,16791.87,37263.96,1.68,0
2,66,0,1,6,6,146,104,2,104.0,1,1,17410.01,13942.13,33236.89,33236.89,2.89,1
0,36,0,0,9,0,1500,0,1,0.0,1,2,3566.26,4252.31,4392.33,6261.56,1.35,0
0,38,0,0,19,6,1200,2713,2,2713.0,1,3,16030.2,2800.62,14942.36,914.0,0.84,1
