ID,Life_Time,Age,Is_Retail,Is_CRM_Email
100001096,1,33,1,0
100002057,1,44,0,0
100009325,7,30,1,1
100014865,3,31,1,0
100018655,9,61,1,1
100024198,2,47,0,1
100029978,1,45,0,0
100031010,0,63,0,1
100031517,1,47,1,0
100031681,6,36,0,1
100038134,2,49,0,1
100042130,6,43,0,1
100045068,3,58,0,0
100056894,1,59,0,1
100058530,0,55,0,1
100060892,2,21,1,1
100065333,0,59,0,0
100074532,4,37,0,1
100075910,0,33,0,0
100080843,0,42,1,0
100082282,9,41,0,0
100084692,4,32,1,1
100088585,0,55,0,0
100089625,0,42,1,1
100091173,4,40,0,0
100093050,1,29,0,0
100095464,9,55,0,0
100097534,3,56,0,0
100099126,2,36,0,1
100099460,1,19,1,0
100102882,1,32,0,1
100104446,1,41,0,1
100108089,0,65,1,0
100119091,1,37,1,1
100122299,11,64,1,0
100123845,2,42,0,0
100129711,0,53,1,1
100137686,15,66,0,1
100139118,0,54,1,1
100139247,0,28,1,0
100139714,0,29,1,0
100145353,4,32,1,1
100146806,0,44,0,1
100148155,2,33,1,1
100151533,8,61,0,0
100152135,5,48,0,1
100154748,2,57,0,1
100155414,3,33,1,1
100170329,0,31,0,0
100183644,1,32,0,0
100184034,6,29,1,0
100187463,2,38,0,1
100190896,0,43,0,0
100192322,1,45,0,0
100192360,2,37,1,0
100193720,0,42,0,0
100195324,6,38,0,0
100197097,2,45,1,1
100197495,0,43,1,0
100198366,1,32,1,0
100201614,1,49,1,0
100204594,0,58,0,1
100205385,0,67,0,0
100206517,0,35,0,0
100208881,0,39,0,0
100226186,2,36,0,0
100227241,1,19,1,0
100236540,0,49,1,1
100243294,12,49,1,0
100249111,8,64,0,0
100253371,2,37,0,1
100256342,0,43,0,0
100259829,0,41,0,0
100268001,5,33,1,1
100268900,2,31,1,0
100271109,0,34,1,0
100275396,2,25,1,0
100282669,8,47,1,0
100282671,1,36,0,0
100286838,0,54,1,0
100288261,2,24,1,1
100293973,2,32,1,0
100298271,1,41,1,0
100306048,14,48,0,1
100306900,0,25,0,0
100307658,0,50,1,0
100311354,0,55,0,1
100311446,0,52,0,0
100325014,0,30,1,0
100325467,1,80,1,0
100326683,2,39,0,1
100327177,2,31,0,1
100332210,0,23,0,0
100333793,1,38,0,1
100345010,0,47,0,0
100347865,0,57,1,0
100348032,4,53,0,0
100352526,0,33,1,1
100361315,6,30,0,1
100363983,3,30,0,0
100364099,4,41,0,0
100370353,0,24,0,1
100372361,0,44,0,0
100372706,3,51,0,0
100372828,0,28,0,0
100377909,3,53,1,1
100379122,2,42,0,1
100391572,2,33,1,0
100400344,0,33,0,1
100404695,2,42,1,0
100405176,0,22,0,1
100407405,3,38,0,1
100409396,3,61,0,0
100411083,3,44,0,0
100415413,1,38,0,0
100419239,2,37,0,1
100422689,5,45,1,0
100424203,1,39,0,1
100424445,1,37,0,0
100425957,8,35,1,1
100432329,0,53,0,0
100435643,3,41,1,0
100436889,8,63,0,1
100437382,5,42,0,0
100441060,12,63,0,1
100444165,0,20,0,1
100452094,4,28,1,1
100453290,4,25,0,0
100462808,1,30,0,0
100475073,0,34,0,0
100476592,0,18,1,0
100480388,8,34,0,1
100485527,5,46,1,1
100488484,1,65,1,0
100488712,3,34,1,1
100519003,2,26,1,1
100521745,2,20,0,1
100529393,0,78,0,0
100531755,0,57,0,0
100543108,2,47,1,0
100548468,2,26,0,0
100550931,2,25,0,0
100551351,0,36,0,0
100557736,4,56,0,0
100558108,1,47,1,1
100564711,0,38,1,0
100569230,4,27,1,0
100580004,3,24,1,1
100582209,3,38,1,0
100582264,0,19,0,0
100584504,0,57,0,0
100585037,8,57,1,0
100590296,0,40,0,0
100592176,2,52,1,0
100593231,3,21,1,0
100593237,1,53,0,0
100596079,0,47,0,0
100607844,0,50,0,0
100608482,3,35,1,1
100608511,2,36,1,0
100610883,1,33,0,1
100615604,0,41,1,0
100619564,4,75,0,0
100630757,5,58,1,1
100630844,3,42,1,1
100633418,9,58,0,1
100634354,1,36,1,0
100642051,2,62,0,0
100647572,6,26,1,0
100647582,0,32,0,0
100650465,0,57,0,1
100656174,2,44,1,1
100659565,2,29,1,0
100662888,1,31,0,0
100670629,9,57,0,0
100670803,0,33,0,1
100671697,11,51,0,1
100675153,1,36,0,0
100677051,1,23,1,1
100686786,4,57,0,0
100688889,2,57,1,1
100691126,4,56,1,1
100691418,2,50,1,1
100698292,0,23,1,1
100701100,3,29,0,1
100703333,1,56,1,0
100707331,2,49,0,1
100722144,5,55,0,1
100724543,0,32,0,0
100724673,4,39,1,0
100727221,0,36,0,0
100727969,0,55,0,0
100732512,5,69,0,1
100736233,3,52,0,0
100737449,0,26,1,0
100742624,4,39,1,0
100749634,1,19,1,0
100750503,1,21,0,1
100758700,2,28,0,0
100760881,2,65,1,0
100761433,10,49,1,0
100765718,8,28,1,1
100766225,13,57,1,0
100766456,4,45,0,0
100774939,2,39,0,1
100776867,10,64,1,1
100780070,3,28,1,1
100784882,1,57,0,1
100795929,0,28,0,1
100797045,0,35,0,1
100798883,3,36,1,1
100802749,4,26,0,1
100807526,0,29,0,0
100812690,0,55,0,1
100816536,3,33,0,1
100821812,3,40,0,1
100824603,0,26,0,0
100828762,1,36,0,1
100832613,0,54,0,1
100841995,1,39,0,1
100849944,0,30,0,1
100850573,1,34,0,0
100851390,0,41,0,0
100854196,0,19,0,0
100859644,0,59,0,0
100862857,3,43,1,0
100871528,0,53,0,0
100877582,1,23,0,1
100877735,0,57,1,0
100884070,2,36,0,0
100888643,12,66,0,0
100894451,0,34,0,0
100895284,2,59,0,0
100895979,2,39,0,0
100897273,4,28,1,1
100902188,2,45,0,1
100904089,6,57,1,0
100905425,4,43,0,0
100912120,0,59,0,0
100913906,0,32,0,0
100919036,0,73,0,0
100922672,1,30,0,1
100926127,0,50,0,0
100926982,2,66,0,1
100928461,5,32,0,1
100930369,0,56,0,1
100936136,0,39,0,1
100936423,7,62,0,1
100940683,1,29,0,0
100943907,0,43,0,0
100945762,0,26,1,0
100946298,12,30,1,1
100946369,0,46,0,0
100946961,1,45,0,0
100960029,3,30,0,1
100961204,7,59,1,1
100972564,0,26,1,0
100973280,2,31,0,1
100973805,3,48,1,1
100985254,0,35,0,0
100985955,14,52,1,0
100990757,3,33,0,0
100992156,6,24,1,0
100997223,1,27,1,0
100998703,1,30,0,0
101017982,1,42,0,1
101026810,1,54,0,0
101028840,0,40,0,0
101035669,2,35,0,0
101036450,8,69,1,1
101046660,0,47,0,0
101049444,3,42,0,1
